Date,Clicks,Impressions,CTR,Position
2026-06-06,0,1,0%,2
2026-06-07,0,1,0%,10
2026-06-08,0,5,0%,5.8
2026-06-09,0,5,0%,76.8
2026-06-10,0,5,0%,30
2026-06-11,0,10,0%,80.2
2026-06-12,0,8,0%,44.2
2026-06-13,0,8,0%,80.6
2026-06-14,0,9,0%,37
2026-06-15,1,8,12.5%,34.1
2026-06-16,0,17,0%,31.3
2026-06-17,0,19,0%,64
2026-06-18,0,18,0%,82
2026-06-19,0,30,0%,77.5
2026-06-20,0,11,0%,28.2
2026-06-21,0,6,0%,27.2
2026-06-22,0,13,0%,42.8
2026-06-23,0,3,0%,58
2026-06-24,0,2,0%,8.5
2026-06-25,0,2,0%,87.5
2026-06-26,0,8,0%,6.9
2026-06-27,0,1,0%,89
2026-06-28,0,4,0%,25.5
2026-06-29,0,4,0%,5.2
2026-06-30,0,5,0%,6.8
2026-07-01,0,1,0%,92
2026-07-02,0,3,0%,6
2026-07-03,0,2,0%,4.5
2026-07-04,0,4,0%,21.5
2026-07-05,0,7,0%,12.4
2026-07-06,0,44,0%,57
2026-07-07,0,10,0%,72.1
2026-07-08,0,21,0%,44
2026-07-09,0,11,0%,64.8
2026-07-10,0,18,0%,55.1
2026-07-11,0,13,0%,60.1
2026-07-12,1,18,5.56%,28.3
2026-07-13,0,28,0%,59
2026-07-14,0,22,0%,44.4
2026-07-15,1,19,5.26%,38.3
2026-07-16,0,15,0%,52.1
2026-07-17,1,12,8.33%,46.6
2026-07-18,0,22,0%,51
2026-07-19,0,16,0%,62
2026-07-20,0,81,0%,81.4
2026-07-21,0,98,0%,80.9
2026-07-22,0,39,0%,64.8
2026-07-23,0,15,0%,32.7
2026-07-24,0,14,0%,38.6
2026-07-25,0,4,0%,27
2026-07-26,1,6,16.67%,19
2026-07-27,0,7,0%,31.6
2026-07-28,0,9,0%,43.1
2026-07-29,0,5,0%,18.2
2026-07-30,0,13,0%,17.9
2026-07-31,0,4,0%,5.2
2026-08-01,1,7,14.29%,3.9
2026-08-02,1,21,4.76%,3.4
2026-08-03,0,14,0%,19.9
2026-08-04,0,7,0%,1.4
2026-08-05,0,8,0%,39.4
2026-08-06,0,6,0%,35
2026-08-07,1,7,14.29%,4.9
2026-08-08,0,3,0%,35
2026-08-09,0,16,0%,38.1
2026-08-10,1,13,7.69%,45
2026-08-11,0,9,0%,24.4
2026-08-12,0,5,0%,8.6
2026-08-13,0,17,0%,24.9
2026-08-14,0,15,0%,19.7
2026-08-15,0,17,0%,47.4
2026-08-16,0,11,0%,50.5
2026-08-17,0,16,0%,44.8
2026-08-18,0,12,0%,64.9
2026-08-19,0,31,0%,55.8
2026-08-20,0,38,0%,56.6
2026-08-21,2,21,9.52%,38.6
2026-08-22,0,20,0%,67.5
2026-08-23,0,27,0%,60.2
2026-08-24,0,22,0%,53
2026-08-25,0,32,0%,37.8
2026-08-26,0,22,0%,35.8
2026-08-27,1,23,4.35%,54.5
2026-08-28,0,22,0%,44.5
2026-08-29,0,30,0%,64.8
2026-08-30,0,20,0%,64.5
2026-08-31,1,16,6.25%,35.6
2026-09-01,0,11,0%,14.9
2026-09-02,0,20,0%,23.6
2026-09-03,0,8,0%,15.2
