Country,Clicks,Impressions,CTR,Position
Nigeria,8,224,3.57%,3.08
United Kingdom,1,505,0.2%,79.66
Malaysia,1,33,3.03%,44.52
Pakistan,1,13,7.69%,10.69
Romania,1,11,9.09%,8.55
Brazil,1,10,10%,3.7
United States,0,210,0%,25.5
Australia,0,55,0%,74.49
India,0,38,0%,69.13
Philippines,0,26,0%,49.42
Ireland,0,25,0%,72.44
Thailand,0,17,0%,70.12
Mexico,0,15,0%,50.73
New Zealand,0,15,0%,72.8
Vietnam,0,15,0%,77.33
Indonesia,0,12,0%,58.17
Spain,0,10,0%,27.1
France,0,9,0%,9.33
Bangladesh,0,9,0%,69.67
Saudi Arabia,0,8,0%,36.38
Turkey,0,7,0%,45.14
Netherlands,0,6,0%,17
Germany,0,6,0%,17.17
Canada,0,6,0%,29.5
Venezuela,0,5,0%,8.2
Ukraine,0,5,0%,59.6
Morocco,0,5,0%,60.2
United Arab Emirates,0,5,0%,69.2
Poland,0,4,0%,3
South Africa,0,4,0%,34.75
Sri Lanka,0,4,0%,50
Austria,0,3,0%,49.33
Sweden,0,3,0%,65.33
Oman,0,2,0%,1.5
Egypt,0,2,0%,2
Nepal,0,2,0%,3
Colombia,0,2,0%,22.5
Singapore,0,2,0%,41.5
Russia,0,2,0%,65.5
Algeria,0,2,0%,96
Iran,0,1,0%,1
Ecuador,0,1,0%,2
Armenia,0,1,0%,3
Italy,0,1,0%,8
Slovenia,0,1,0%,8
Benin,0,1,0%,9
Bulgaria,0,1,0%,9
Israel,0,1,0%,32
Belarus,0,1,0%,75
Ghana,0,1,0%,79
Zimbabwe,0,1,0%,79
Iraq,0,1,0%,80
Belgium,0,1,0%,97
Jordan,0,1,0%,98
