Top pages,Clicks,Impressions,CTR,Position
https://andro-prime.com/,10,400,2.5%,6.99
https://andro-prime.com/about,2,209,0.96%,7.56
https://andro-prime.com/contact,1,120,0.83%,12.05
https://andro-prime.com/blog/fbc-blood-test,0,169,0%,74.75
https://andro-prime.com/blog/how-to-read-blood-test-results,0,140,0%,88.11
https://andro-prime.com/blog/inflammatory-markers-blood-test,0,119,0%,84.58
https://andro-prime.com/blog/andropause-male-menopause,0,101,0%,86.8
https://andro-prime.com/blog/liver-function-blood-test,0,91,0%,74.19
https://andro-prime.com/kits,0,77,0%,17.22
https://andro-prime.com/test-selector,0,77,0%,38.34
https://andro-prime.com/faq,0,49,0%,8.63
https://andro-prime.com/privacy,0,46,0%,12.17
https://andro-prime.com/terms,0,42,0%,10.76
https://andro-prime.com/blog,0,38,0%,8.16
https://andro-prime.com/how-it-works,0,37,0%,15.16
https://andro-prime.com/blog/crp-blood-test,0,36,0%,48.28
https://andro-prime.com/blog/cholesterol-test,0,19,0%,91
https://andro-prime.com/supplement-waitlist,0,17,0%,25.53
https://andro-prime.com/kits/testosterone,0,17,0%,50.82
https://andro-prime.com/blog/b12-blood-test,0,16,0%,73.44
http://www.andro-prime.com/,0,13,0%,4.23
https://andro-prime.com/blog/brain-fog,0,13,0%,73.31
https://andro-prime.com/supplements/daily-stack,0,12,0%,37.67
https://andro-prime.com/blog/low-vitamin-d-symptoms,0,11,0%,44.55
https://andro-prime.com/blog/ferritin-blood-test,0,11,0%,86.09
https://andro-prime.com/kits/hormone-recovery,0,10,0%,35.5
https://andro-prime.com/auth/login,0,8,0%,25.62
https://andro-prime.com/blog/myth-of-normal-range,0,7,0%,41.57
https://andro-prime.com/kits/energy-recovery,0,6,0%,55
https://andro-prime.com/authors/dr-ewa-lindo,0,5,0%,4.2
https://andro-prime.com/authors/keith-antony,0,3,0%,9
https://andro-prime.com/blog/signs-of-stress-in-men,0,3,0%,39.33
https://andro-prime.com/blog/free-androgen-index,0,2,0%,5.5
https://andro-prime.com/blog/how-to-increase-testosterone-naturally,0,2,0%,6
https://andro-prime.com/supplements/collagen,0,2,0%,55
https://andro-prime.com/blog/14-signs-of-vitamin-d-deficiency,0,2,0%,88.5
https://andro-prime.com/blog/thyroid-test,0,1,0%,3
https://andro-prime.com/blog/why-am-i-always-tired,0,1,0%,20
