query,vol,kd,kd_source,priority,score,pillar,role,compliance,ai_overview,serp_verdict,coverage_status,primary_article_slug,sources
crp blood test,27100,7,dfs,1,10,pillar-D,commercial,low,Y,MIXED,published,pillar-D-hub-crp-blood-test,backlog+csv
fbc blood test,18100,9,dfs,1,9,pillar-D,commercial,low,Y,MIXED,,,csv
mchc blood test,12100,0,dfs,1,9,D,commercial,,Y,MIXED,,,backlog
serum gamma gt level,8100,4,dfs,1,9,,spoke,,Y,WEDGE,,,backlog
mcv test,8100,0,dfs,1,9,D,commercial,,Y,MIXED,,,backlog
manopause,49500,10,dfs,2,7,pillar-E,spoke,gate,n,CONTESTED,,,csv
hba1c,40500,22,dfs,2,7,pillar-I,spoke,gate,Y,MIXED,deferred,,csv
blood work crp test,27100,27,dfs,2,7,D,commercial,,n,MIXED,,,discovery
testosterone test,22200,8,dfs,2,9,pillar-C,commercial,gate,Y,CONTESTED,,,backlog+csv
testosterone testing,22200,8,dfs,2,8,C,spoke,gate,Y,CONTESTED,,,backlog
serum ferritin,22200,19,dfs,2,8,pillar-D,spoke,low,Y,MIXED,,,csv
liver function blood test,18100,18,dfs,2,7,pillar-H,commercial,medium,n,MIXED,briefed,pillar-H-hub-liver-function-blood-test,csv
full blood count check,18100,9,dfs,2,8,D,spoke,,Y,MIXED,,,discovery
blood work test near me,12100,0,dfs,2,7,,commercial,,n,CONTESTED,,,backlog
count of lymphocytes,12100,9,dfs,2,8,D,spoke,,Y,MIXED,,,backlog
blood analysis mch,9900,0,dfs,2,8,D,spoke,,Y,MIXED,,,backlog
blood test mean corpuscular hemoglobin,9900,11,dfs,2,7,,commercial,,Y,CONTESTED,,,backlog
corpuscular haemoglobin,8100,2,dfs,2,7,D,spoke,,Y,CONTESTED,,,backlog
mean corpuscular haemoglobin,8100,0,dfs,2,7,D,spoke,,Y,CONTESTED,,,backlog
ferritin blood test,8100,12,dfs,2,8,pillar-D,commercial,low,Y,MIXED,,,csv
bupa health check,8100,0,dfs,2,7,,commercial,,n,CONTESTED,,,discovery
crp test,6600,10,dfs,2,7,pillar-D,commercial,low,Y,CONTESTED,published,,backlog+csv
ggt blood test,6600,10,dfs,2,8,H,commercial,,Y,MIXED,,,backlog
haematocrit pcv low,6600,10,dfs,2,7,D,spoke,,Y,MIXED,,,backlog
testos blood test,3600,8,dfs,2,7,,commercial,,Y,CONTESTED,,,backlog
testosterone blood test,3600,8,dfs,2,7,pillar-C,commercial,gate,Y,CONTESTED,,,backlog+csv
blood testing testosterone,3600,8,dfs,2,7,C,commercial,gate,Y,CONTESTED,,,backlog
hiv test kit,3600,9,dfs,2,8,,commercial,,Y,MIXED,,,backlog
full body mot health check,3600,4,dfs,2,7,,commercial,,Y,CONTESTED,,,discovery
blood test from home,2900,2,dfs,2,7,,commercial,,Y,CONTESTED,,,backlog
ferritin test,2900,5,dfs,2,8,D,commercial,,Y,MIXED,,,discovery
hormones blood test,2400,1,dfs,2,7,,commercial,,Y,CONTESTED,,,backlog
blood test neutrophils,2400,0,dfs,2,8,,commercial,,Y,MIXED,,,backlog
neut blood test,2400,8,dfs,2,7,,commercial,,Y,CONTESTED,,,backlog
cholesterol kit test,2400,0,dfs,2,7,I,commercial,,Y,CONTESTED,,,backlog
urea and electrolytes test,2400,0,dfs,2,7,future-kit-kidney,commercial,low,Y,CONTESTED,,,csv
vitamin d test,2400,8,dfs,2,7,A,commercial,,Y,CONTESTED,,,discovery
cholesterol machine test at home,2400,0,dfs,2,7,I,commercial,,Y,CONTESTED,,,discovery
superdrug blood test,2400,0,dfs,2,7,,commercial,,n,MIXED,,,discovery
weight loss injections,165000,29,dfs,3,6,unassigned,spoke,very-high,,,,,csv
vitamin d deficiency,49500,37,dfs,3,5,dropped,spoke,medium,,,planned,,csv
vitamin d deficiency disease,49500,40,dfs,3,5,A,spoke,,,,,,discovery
vitamin d deficiency disease symptoms,33100,71,dfs,3,4,A,spoke,,,,,,discovery
ferritin,27100,12,dfs,3,6,pillar-D,spoke,low,n,CONTESTED,,,csv+backlog
blood test c reactive protein crp,27100,42,dfs,3,6,D,commercial,,,,,,discovery
fatigue,22200,63,dfs,3,4,pillar-B,spoke,medium,,,,,csv
vitamin d supplement,22200,38,dfs,3,5,A,spoke,,,,,,discovery
ferritin count,18100,36,dfs,3,4,D,spoke,,,,,,discovery
blood work test for liver function,18100,22,dfs,3,6,H,commercial,,,,,,discovery
lab test liver function,18100,30,dfs,3,6,H,commercial,,,,,,discovery
hba1c test,18100,25,dfs,3,6,I,commercial,,,,,,discovery
what foods are highest in iron,14800,37,dfs,3,4,,spoke,,,,,,backlog
why am i always tired,14800,35,dfs,3,4,pillar-B,spoke,medium,,,published,pillar-B-hub-why-am-i-always-tired,csv
how to increase testosterone,14800,29,dfs,3,5,pillar-C,spoke,gate,,,,,csv
how to enhance testosterone,14800,29,dfs,3,5,pillar-C,spoke,gate,,,,,csv
brain fog,14800,33,dfs,3,4,kit-2-hook,spoke,medium,,,unassigned,,csv
why am i always tired all the time,14800,26,dfs,3,5,B,spoke,,,,,,discovery
function test liver,14800,44,dfs,3,5,H,commercial,,,,,,discovery
forth,12100,30,dfs,3,5,,spoke,,,,,,backlog
why am i so tired all the time,12100,20,dfs,3,6,pillar-B,spoke,medium,Y,CONTESTED,published,pillar-B-hub-why-am-i-always-tired,csv
