query,vol,kd,ai_overview,verdict,top3_organic,aio_sources
ferritin,27100,12,n,CONTESTED,my.clevelandclinic.org / en.wikipedia.org / labtestsonline.org.uk,
test testosterone,22200,8,Y,CONTESTED,randoxhealth.com / medichecks.com / healthclinics.superdrug.com,medichecks.com / healthclinics.superdrug.com / randoxhealth.com / londonhealthcompany.co.uk
testosterone tests,22200,7,Y,CONTESTED,medichecks.com / randoxhealth.com / healthclinics.superdrug.com,medichecks.com / medlineplus.gov / randoxhealth.com / nhs.uk
testosterone testing,22200,8,Y,CONTESTED,randoxhealth.com / medichecks.com / healthclinics.superdrug.com,
why am i so tired all the time,12100,20,Y,CONTESTED,nhs.uk / hadwenhealth.co.uk / bupa.co.uk,nhs.uk / bhf.org.uk / hadwenhealth.co.uk / bupa.co.uk
blood test mean corpuscular hemoglobin,9900,11,Y,CONTESTED,my.clevelandclinic.org / healthline.com / testing.com,my.clevelandclinic.org / healthline.com / testing.com / ubiehealth.com
mean cell hemoglobin,8100,18,Y,CONTESTED,my.clevelandclinic.org / testing.com / healthline.com,my.clevelandclinic.org / testing.com / healthline.com / onedaytests.com
corpuscular haemoglobin,8100,2,Y,CONTESTED,my.clevelandclinic.org / testing.com / healthline.com,my.clevelandclinic.org / testing.com / healthline.com / sciencedirect.com
mean corpuscular haemoglobin,8100,0,Y,CONTESTED,testing.com / healthline.com / my.clevelandclinic.org,testing.com / healthline.com / ubiehealth.com / forthwithlife.co.uk
why do i feel tired all the time,8100,24,Y,CONTESTED,nhs.uk / hadwenhealth.co.uk / bhf.org.uk,nhs.uk / bhf.org.uk / hadwenhealth.co.uk / bupa.co.uk
cortisol test,6600,12,Y,CONTESTED,medlineplus.gov / medichecks.com / londonhealthcompany.co.uk,medlineplus.gov / my.clevelandclinic.org / labtestsonline.org.uk / medichecks.com
mean cell hemoglobin concentration,6600,7,Y,CONTESTED,my.clevelandclinic.org / forthwithlife.co.uk / healthline.com,forthwithlife.co.uk / ubiehealth.com / en.wikipedia.org / privatebloodtestslondon.co.uk
mean corpuscular hemoglobin concentration,6600,18,n,CONTESTED,forthwithlife.co.uk / testing.com / healthline.com,
best vitamin d supplement,6600,2,Y,CONTESTED,vitabiotics.com / medichecks.com / bbcgoodfood.com,nhs.uk / bbcgoodfood.com / hollandandbarrett.com / fortune.com
blood test,49500,10,Y,MIXED,swiftqueue.co.uk / nhs.uk / kgh.nhs.uk,
hba1c,40500,22,Y,MIXED,diabetes.org.uk / labtestsonline.org.uk / ncbi.nlm.nih.gov,diabetes.org.uk / labtestsonline.org.uk / gloshospitals.nhs.uk / mydiabetesmyway.scot.nhs.uk
blood for crp test,27100,7,Y,MIXED,medlineplus.gov / labtestsonline.org.uk / mayoclinic.org,
crp blood test,27100,11,Y,MIXED,medlineplus.gov / labtestsonline.org.uk / nhsinform.scot,medlineplus.gov / labtestsonline.org.uk / mayoclinic.org / londongpclinic.co.uk
serum ferritin,22200,19,Y,MIXED,nhs.uk / medlineplus.gov / my.clevelandclinic.org,medlineplus.gov / my.clevelandclinic.org / nhs.uk / bmj.com
