query,vol,kd,cpc,competition,intent
cant sleep quotes,720,0,,low,informational
cant sleep quotes funny,260,0,,low,informational
funny cant sleep quotes,260,0,,low,informational
cant sleep gif,110,0,,low,informational
hot feet at night cant sleep,90,0,0.77,low,informational
cant sleep depressed,90,57,,low,informational
overthinking cant sleep quotes,70,0,,low,informational
cant eat cant sleep,70,13,,low,informational
i cant get no sleep remix,70,,,low,informational
cant sleep cant eat,70,15,,low,informational
cant sleep funny memes,50,0,,low,informational
why cant i sleep past 5 am,50,28,,low,informational
cant sleep meme funny,50,0,,low,informational
funny cant sleep,50,0,,low,informational
when you cant sleep quotes,40,0,,low,informational
i cant get no sleep techno song,40,,,low,informational
i can't eat i cant sleep song,40,0,,low,informational
cant sleep funny images,30,14,,low,informational
funny cant sleep meme,30,0,,low,informational
i cant sleep and its 3 am,30,,,low,informational
i cant sleep i cant eat lyrics,30,,,low,informational
i'm so tired i cant sleep,30,70,,low,informational
funny cant sleep memes,30,0,,low,informational
why cant i sleep after surgery,30,,,low,informational
cant sleep picture,30,,,low,informational
overthinking at night cant sleep,20,,,high,informational
cant sleep on planes,20,,2.2,low,informational
why cant i sleep with a concussion,20,,,low,informational
i can't sleep i cant eat anymore,20,42,,low,transactional
cant sleep 3 am,20,,,low,informational
diabetes cant sleep,20,,,low,informational
why cant i sleep past 3 am,20,,,medium,informational
cant sleep in summer,20,,,low,informational
why cant i sleep past 4 am,20,,,low,informational
cant sleep cant stop thinking,20,,6.22,medium,informational
cant sleep past 5 am,20,,,low,informational
cant eat cant sleep song,20,,,low,informational
cant sleep hot feet,20,,,low,informational
cant sleep cant get comfortable,20,,,low,informational
cant sleep heat,20,,,low,informational
(seed "cant sleep" -> 40 keywords, cost $0.014)
