query,vol,kd,cpc,competition,intent
how do i lose fat belly,22200,59,1.72,high,informational
how do you lose belly fat,22200,57,1.72,high,informational
how to lose belly fat stomach,22200,57,1.72,high,informational
how to lose belly fat,22200,57,1.72,high,informational
how can i lose belly fat,22200,57,1.72,high,informational
how to lose fat from belly,22200,57,1.72,high,informational
how do you lose fat belly,22200,76,1.72,high,informational
how to to lose belly fat,22200,57,1.72,high,informational
how to lose fat on belly,22200,57,1.72,high,informational
how to lose fat at belly,22200,57,1.72,high,informational
how how to lose belly fat,22200,57,1.72,high,informational
how the lose belly fat,22200,57,1.72,high,informational
how lose fat belly,22200,46,1.72,high,informational
how to.lose belly fat,22200,57,1.72,high,informational
how can i lose the belly fat,22200,57,1.72,high,informational
how do i lose belly fat,22200,47,1.72,high,informational
how can you lose belly fat,22200,57,1.72,high,informational
how to lose fat in the belly,22200,57,1.72,high,informational
belly fat visceral,18100,54,2.57,low,informational
belly fat visceral fat,18100,64,2.57,low,informational
visceral belly fat,18100,44,2.57,low,informational
best way to lose belly fat,8100,56,2.37,high,informational
how get rid of fat belly,8100,64,1.33,high,informational
best way to lose fat on belly,8100,56,2.37,high,informational
how to i get rid of belly fat,8100,56,1.33,high,informational
how to get rid from belly fat,8100,56,1.33,high,informational
how to get rid fat belly,8100,56,1.33,high,informational
how can you get rid of belly fat,8100,56,1.33,high,informational
best ways of losing belly fat,8100,48,2.37,high,informational
how do you get rid of belly fat,8100,56,1.33,high,informational
how to get rid of belly fat,8100,56,1.33,high,informational
best way how to lose belly fat,8100,70,2.37,high,informational
how to get rid belly fat,8100,56,1.33,high,informational
how get rid of belly fat,8100,56,1.33,high,informational
best ways lose belly fat,8100,56,2.37,high,informational
how do you get rid of fat belly,8100,64,1.33,high,informational
best way of losing belly fat,8100,56,2.37,high,informational
best way lose belly fat,8100,56,2.37,high,informational
how to to get rid of belly fat,8100,56,1.33,high,informational
how can i get rid of belly fat,8100,56,1.33,high,informational
(seed "belly fat" -> 40 keywords, cost $0.014)
